total_volume,total_sales,total_supply,num_owners,average_price,num_reports,market_cap,floor_price,category,qtd_traits,qtd_editors,target
2.0152000000000005,38.0,100.0,72,0.0530315789473684,0,0.0,0.11,art,4,2,1
3.4593446999999915,371.0,1715.0,587,0.0093243792452829,0,0.0,0.0,art,1,1,1
3.6396537889086136,18.0,89.0,50,0.2022029882727007,0,0.0,0.0,pfps,0,1,0
693.7449093745996,5248.0,3227.0,1393,0.1321922464509526,2,0.0,0.0031,pfps,9,1,0
0.0007287,1.0,13.0,2,0.0007287,0,0.0,0.0,art,0,1,1
0.907152440684,93.0,95.0,29,0.0097543273191827,0,0.0,0.0,pfps,7,1,0
9.929688640000002,48.0,1000.0,201,0.2068685133333333,0,0.0,0.0,art,8,1,1
83.75549936779996,804.0,333.0,172,0.1041735066763681,0,18.1152,0.085,art,3,1,1
0.0015986629799999,151.0,2500.0,145,1.058717205298e-05,0,0.0,3.693096e-05,pfps,2,1,0
0.19,3.0,9.0,5,0.0633333333333333,0,0.0,0.03,art,6,1,1
8.119987000000004,504.0,8492.0,785,0.0161110853174603,0,0.0,0.0079,pfps,12,1,0
0.2800000000000001,28.0,156.0,17,0.01,0,0.0,0.01,pfps,0,1,0
0.0217599999999999,17.0,9630.0,430,0.00128,0,0.0,0.0001,pfps,1,2,0
4.6,10.0,6.0,5,0.4599999999999999,0,0.0,0.0,art,0,1,1
23.432551,67.0,59.0,46,0.349739567164179,0,0.0,5.9,pfps,6,1,0
0.55,3.0,30.0,3,0.1833333333333333,0,0.0,0.1,art,0,1,1
9.72,31.0,222.0,27,0.3135483870967742,0,0.0,0.0,memberships,0,2,2
0.0478922024,6.0,935.0,6,0.0079820337333333,0,0.0,0.0,art,0,1,1
158.01062199999006,498.0,400.0,205,0.31729040562247,0,0.0,0.057,art,8,2,1
81.9474,35.0,100.0,78,2.341354285714286,0,75.61,1.499699,art,5,4,1
0.005,1.0,3.0,3,0.005,0,0.0,0.0,art,0,1,1
1.1523,41.0,2550.0,105,0.0281048780487804,0,0.0,0.008,pfps,12,1,0
0.120489,31.0,333.0,88,0.0038867419354838,0,0.0,0.0,pfps,14,2,0
0.02,2.0,49.0,2,0.01,0,0.0,0.0,art,0,1,1
1.16,16.0,1000.0,6,0.0725,0,0.0,0.0,art,0,1,1
9.38262e-05,4.0,7.0,8,2.345655e-05,0,0.0,0.0,art,3,1,1
70.02838869899898,752.0,1156.0,525,0.0931228573124986,1,0.0,0.0088,pfps,4,2,0
1.1699999999999997,18.0,240.0,7,0.0649999999999999,0,0.0,0.0,art,0,1,1
0.12,2.0,6.0,2,0.06,0,0.0,0.0,art,0,1,1
0.002,1.0,9.0,2,0.002,0,0.0,0.002,art,0,1,1
0.9769,14.0,26.0,15,0.0697785714285714,0,0.0,0.0,pfps,15,1,0
6.2306231534579855,1556.0,5554.0,2240,0.0040042565253586,0,0.0,0.0005,art,7,4,1
4.344999000000002,113.0,10.0,41,0.0384513185840708,0,0.0,0.04,photography,0,1,2
